"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"2";"10001018004P4";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";15;1;1;0;0,0666666666666667;0,0666666666666667;0;0,0444444444444444
"3";"10001018005P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";15;0;0;0;0;0;0;0
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";9;0;3;0;0;0,333333333333333;0;0,111111111111111
"5";"10001018009P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";10;0;2;0;0;0,2;0;0,0666666666666667
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"7";"10001018011P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";11;0;0;0;0;0;0;0
"8";"10001018012P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"9";"10001018016P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";17;0;0;0;0;0;0;0
"10";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";15;4;3;1;0,266666666666667;0,2;0,0666666666666667;0,177777777777778
"11";"10001018039P2";NA;NA;NA;NA;NA;NA;14;0;0;0;0;0;0;0
"12";"10001018040P0";NA;NA;NA;NA;NA;NA;12;0;0;0;0;0;0;0
"13";"11001011001P8";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"14";"11001011003P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"15";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"16";"11001011005P3";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";13;0;0;0;0;0;0;0
"17";"11001011006P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"18";"11001011007P6";"ENSINO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";15;1;0;0;0,0666666666666667;0;0;0,0222222222222222
"19";"11001011008P2";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";22;1;0;2;0,0454545454545455;0;0,0909090909090909;0,0454545454545454
"20";"11001011009P9";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";11;0;2;0;0;0,181818181818182;0;0,0606060606060606
"21";"11001011070P0";"MEDICINA II";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";21;0;0;0;0;0;0;0
"22";"11001011071P6";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"23";"12001015001P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";17;0;1;0;0;0,0588235294117647;0;0,0196078431372549
"24";"12001015002P7";"QUÍMICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";28;10;1;0;0,357142857142857;0,0357142857142857;0;0,130952380952381
"25";"12001015003P3";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";15;1;0;0;0,0666666666666667;0;0;0,0222222222222222
"26";"12001015006P2";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"27";"12001015007P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";21;0;0;0;0;0;0;0
"28";"12001015008P5";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";10;0;0;0;0;0;0;0
"29";"12001015009P1";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";1999;"PROFISSIONAL";"3";17;0;1;0;0;0,0588235294117647;0;0,0196078431372549
"30";"12001015012P2";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";26;0;1;21;0;0,0384615384615385;0,807692307692308;0,282051282051282
"31";"12001015013P9";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";27;12;2;0;0,444444444444444;0,0740740740740741;0;0,172839506172839
"32";"12001015014P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"3";26;0;0;0;0;0;0;0
"33";"12001015015P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";24;0;0;0;0;0;0;0
"34";"12001015016P8";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";16;10;9;0;0,625;0,5625;0;0,395833333333333
"35";"12001015018P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"36";"12001015021P1";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";9;0;2;7;0;0,222222222222222;0,777777777777778;0,333333333333333
"37";"12001015022P8";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";8;0;0;0;0;0;0;0
"38";"12001015023P4";"HISTÓRIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"39";"12001015024P0";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"40";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"41";"12001015026P3";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";19;0;0;0;0;0;0;0
"42";"12001015027P0";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";13;0;0;0;0;0;0;0
"43";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";16;0;0;0;0;0;0;0
"44";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"45";"12001015033P0";"FARMÁCIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";16;7;1;0;0,4375;0,0625;0;0,166666666666667
"46";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";27;1;2;0;0,037037037037037;0,0740740740740741;0;0,037037037037037
"47";"12001015035P2";"MATERIAIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"48";"12001015036P9";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"49";"12001015037P5";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";24;0;0;0;0;0;0;0
"50";"12001015038P1";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";149;39;0;0;0,261744966442953;0;0;0,087248322147651
"51";"12001015039P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"52";"12001015040P6";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"53";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";21;0;0;0;0;0;0;0
"54";"12001015042P9";"ENSINO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";18;0;1;0;0;0,0555555555555556;0;0,0185185185185185
"55";"12001015063P6";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";17;0;0;0;0;0;0;0
"56";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";19;0;0;0;0;0;0;0
"57";"12001015065P9";"MEDICINA III";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";16;0;0;0;0;0;0;0
"58";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"59";"12001015171P3";NA;NA;NA;NA;NA;NA;16;0;0;0;0;0;0;0
"60";"12001015172P0";NA;NA;NA;NA;NA;NA;18;0;0;0;0;0;0;0
"61";"12002011011P2";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";13;1;0;0;0,0769230769230769;0;0;0,0256410256410256
"62";"12006017003P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"PARTICULAR";"PRIVADA";2010;"ACADÊMICO";"3";13;0;0;1;0;0;0,0769230769230769;0,0256410256410256
"63";"12008010001P9";"MEDICINA II";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";25;0;0;0;0;0;0;0
"64";"12008010002P5";"DIREITO";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"65";"12008010003P1";"BIOTECNOLOGIA";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";15;4;0;1;0,266666666666667;0;0,0666666666666667;0,111111111111111
"66";"12008010005P4";"ENSINO";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"4";10;0;0;0;0;0;0;0
"67";"12008010007P7";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";14;0;0;0;0;0;0;0
"68";"12008010008P3";"MEDICINA II";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";15;0;0;2;0;0;0,133333333333333;0,0444444444444444
"69";"12008010039P6";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"70";"12008010070P0";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"71";"12008010071P7";NA;NA;NA;NA;NA;NA;13;0;0;0;0;0;0;0
"72";"13001019001P3";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";21;0;0;0;0;0;0;0
"73";"13001019002P0";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";8;0;0;0;0;0;0;0
"74";"13001019003P6";"QUÍMICA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";7;0;0;0;0;0;0;0
"75";"13001019004P2";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";18;0;2;0;0;0,111111111111111;0;0,037037037037037
"76";"13001019005P9";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";20;0;0;0;0;0;0;0
"77";"13001019006P5";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";10;0;0;0;0;0;0;0
"78";"13001019007P1";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";15;1;0;0;0,0666666666666667;0;0;0,0222222222222222
"79";"13001019008P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";18;0;0;7;0;0;0,388888888888889;0,12962962962963
"80";"13001019039P0";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";10;0;0;0;0;0;0;0
"81";"13003011001P6";"ENSINO";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";14;0;0;0;0;0;0;0
"82";"13003011002P2";"CIÊNCIAS AMBIENTAIS";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"83";"13003011003P9";"EDUCAÇÃO";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";19;0;0;0;0;0;0;0
"84";"13003011004P5";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";19;0;0;0;0;0;0;0
"85";"14001012001P6";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";19;0;0;0;0;0;0;0
"86";"14001012003P9";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";15;1;1;0;0,0666666666666667;0,0666666666666667;0;0,0444444444444444
"87";"14001012004P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";20;1;0;0;0,05;0;0;0,0166666666666667
"88";"14001012005P1";"FARMÁCIA";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";15;9;1;0;0,6;0,0666666666666667;0;0,222222222222222
"89";"14001012156P0";NA;NA;NA;NA;NA;NA;8;0;0;0;0;0;0;0
"90";"14001012157P6";NA;NA;NA;NA;NA;NA;18;0;0;0;0;0;0;0
"91";"14001012158P2";NA;NA;NA;NA;NA;NA;14;0;0;0;0;0;0;0
"92";"15001016002P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";20;0;0;3;0;0;0,15;0,05
"93";"15001016003P1";"DIREITO";"FEDERAL";"PÚBLICA";1984;"ACADÊMICO";"4";31;0;0;0;0;0;0;0
"94";"15001016004P8";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"5";20;26;0;4;1;0;0,2;0,4
"95";"15001016007P7";"QUÍMICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";24;7;3;0;0,291666666666667;0,125;0;0,138888888888889
"96";"15001016008P3";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";29;0;0;0;0;0;0;0
"97";"15001016009P0";"PSICOLOGIA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"5";11;0;1;3;0;0,0909090909090909;0,272727272727273;0,121212121212121
"98";"15001016010P8";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";12;3;7;0;0,25;0,583333333333333;0;0,277777777777778
"99";"15001016015P0";"MEDICINA II";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";17;0;0;0;0;0;0;0
"100";"15001016016P6";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";11;0;0;0;0;0;0;0
"101";"15001016017P2";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"6";24;0;0;0;0;0;0;0
"102";"15001016018P9";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"3";17;4;0;0;0,235294117647059;0;0;0,0784313725490196
"103";"15001016022P6";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";25;0;0;0;0;0;0;0
"104";"15001016027P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"105";"15001016028P4";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";21;1;0;0;0,0476190476190476;0;0;0,0158730158730159
"106";"15001016030P9";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";18;0;0;0;0;0;0;0
"107";"15001016031P5";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";11;0;0;1;0;0;0,0909090909090909;0,0303030303030303
"108";"15001016032P1";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"6";19;3;1;4;0,157894736842105;0,0526315789473684;0,210526315789474;0,140350877192982
"109";"15001016033P8";"ENSINO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";21;0;0;2;0;0;0,0952380952380952;0,0317460317460317
"110";"15001016034P4";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";22;0;0;0;0;0;0;0
"111";"15001016035P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";24;0;1;0;0;0,0416666666666667;0;0,0138888888888889
"112";"15001016036P7";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";11;0;0;0;0;0;0;0
"113";"15001016037P3";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";14;19;0;1;1;0;0,0714285714285714;0,357142857142857
"114";"15001016038P0";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";11;0;2;0;0;0,181818181818182;0;0,0606060606060606
"115";"15001016039P6";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";14;1;1;1;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714
"116";"15001016040P4";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";23;0;3;0;0;0,130434782608696;0;0,0434782608695652
"117";"15001016041P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";16;0;0;2;0;0;0,125;0,0416666666666667
"118";"15001016042P7";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";14;0;0;0;0;0;0;0
"119";"15001016043P3";"HISTÓRIA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";20;0;0;0;0;0;0;0
"120";"15001016044P0";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";28;3;8;0;0,107142857142857;0,285714285714286;0;0,130952380952381
"121";"15001016045P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";14;0;0;2;0;0;0,142857142857143;0,0476190476190476
"122";"15001016046P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";19;0;0;0;0;0;0;0
"123";"15001016047P9";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";20;0;0;3;0;0;0,15;0,05
"124";"15001016049P1";"FARMÁCIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";17;9;0;0;0,529411764705882;0;0;0,176470588235294
"125";"15001016050P0";"ECONOMIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";12;0;0;2;0;0;0,166666666666667;0,0555555555555556
"126";"15001016051P6";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";16;7;1;1;0,4375;0,0625;0,0625;0,1875
"127";"15001016052P2";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";19;0;0;0;0;0;0;0
"128";"15001016053P9";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";9;0;0;0;0;0;0;0
"129";"15001016055P1";"ARTES / MÚSICA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";18;0;2;0;0;0,111111111111111;0;0,037037037037037
"130";"15001016057P4";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";14;0;0;0;0;0;0;0
"131";"15001016059P7";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";15;1;1;0;0,0666666666666667;0,0666666666666667;0;0,0444444444444444
"132";"15001016060P5";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";18;0;2;0;0;0,111111111111111;0;0,037037037037037
"133";"15001016061P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";22;0;0;0;0;0;0;0
"134";"15001016062P8";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"135";"15001016063P4";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";13;1;0;0;0,0769230769230769;0;0;0,0256410256410256
"136";"15001016064P0";"MEDICINA II";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";23;0;0;0;0;0;0;0
"137";"15001016065P7";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";15;0;0;0;0;0;0;0
"138";"15001016066P3";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"139";"15001016067P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";22;0;0;0;0;0;0;0
"140";"15001016068P6";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";18;5;0;3;0,277777777777778;0;0,166666666666667;0,148148148148148
"141";"15001016069P2";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";9;0;0;1;0;0;0,111111111111111;0,037037037037037
"142";"15001016070P0";"FILOSOFIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";9;0;0;0;0;0;0;0
"143";"15001016071P7";"MEDICINA I";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";22;0;0;3;0;0;0,136363636363636;0,0454545454545454
"144";"15001016072P3";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";15;0;0;0;0;0;0;0
"145";"15001016073P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";14;1;0;0;0,0714285714285714;0;0;0,0238095238095238
"146";"15001016075P2";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";17;5;0;0;0,294117647058824;0;0;0,0980392156862745
"147";"15001016076P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";14;5;5;0;0,357142857142857;0,357142857142857;0;0,238095238095238
"148";"15001016077P5";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"4";20;0;5;0;0;0,25;0;0,0833333333333333
"149";"15001016078P1";"ENSINO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"4";23;0;3;1;0;0,130434782608696;0,0434782608695652;0,0579710144927536
"150";"15001016079P8";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";12;1;0;0;0,0833333333333333;0;0;0,0277777777777778
"151";"15001016080P6";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";10;1;0;0;0,1;0;0;0,0333333333333333
"152";"15001016081P2";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"153";"15001016082P9";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"154";"15001016084P1";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";16;0;2;0;0;0,125;0;0,0416666666666667
"155";"15001016085P8";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";10;1;0;0;0,1;0;0;0,0333333333333333
"156";"15001016086P4";"FARMÁCIA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";17;3;0;0;0,176470588235294;0;0;0,0588235294117647
"157";"15001016087P0";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"4";18;0;0;0;0;0;0;0
"158";"15001016088P7";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";14;0;1;0;0;0,0714285714285714;0;0,0238095238095238
"159";"15001016089P3";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";22;0;0;0;0;0;0;0
"160";"15001016090P1";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";13;0;0;0;0;0;0;0
"161";"15001016091P8";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"162";"15001016092P4";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";11;0;0;5;0;0;0,454545454545455;0,151515151515152
"163";"15001016156P2";NA;NA;NA;NA;NA;NA;12;0;0;0;0;0;0;0
"164";"15001016157P9";NA;NA;NA;NA;NA;NA;19;0;0;0;0;0;0;0
"165";"15001016158P5";NA;NA;NA;NA;NA;NA;8;0;0;0;0;0;0;0
"166";"15001016159P1";NA;NA;NA;NA;NA;NA;13;0;0;0;0;0;0;0
"167";"15001016160P0";NA;NA;NA;NA;NA;NA;10;0;0;0;0;0;0;0
"168";"15002012001P5";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";18;0;0;0;0;0;0;0
"169";"15002012004P4";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"170";"15002012005P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";11;0;0;0;0;0;0;0
"171";"15002012006P7";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";18;0;0;0;0;0;0;0
"172";"15002012007P3";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";11;1;0;0;0,0909090909090909;0;0;0,0303030303030303
"173";"15002012008P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";12;0;0;2;0;0;0,166666666666667;0,0555555555555556
